order_id,item_id,item_name,quantity,selling_price,total_price
O00001,M006,Paneer Butter Masala,2,385,770
O00001,M001,Amritsari Paratha,3,265,795
O00002,M013,Salted Chaas,3,70,210
O00002,M007,Masaledar Sukhe Aloo,2,180,360
O00002,M010,Papdi Chaat,3,200,600
O00002,M015,Gulab Jamun,2,180,360
O00003,M001,Amritsari Paratha,3,265,795
O00003,M015,Gulab Jamun,1,180,180
O00004,M002,All In One Paratha,1,285,285
O00004,M005,Gobhi Paratha,2,250,500
O00004,M014,Gajar Ka Halwa,2,210,420
O00005,M011,Patiala Lassi,2,150,300
O00006,M014,Gajar Ka Halwa,1,210,210
O00006,M008,Pindi Chole,1,220,220
O00007,M015,Gulab Jamun,3,180,540
O00007,M007,Masaledar Sukhe Aloo,2,180,360
O00007,M002,All In One Paratha,1,285,285
O00007,M012,Sweet Lassi,3,130,390
O00007,M006,Paneer Butter Masala,3,385,1155
O00008,M012,Sweet Lassi,3,130,390
O00008,M010,Papdi Chaat,2,200,400
O00008,M015,Gulab Jamun,2,180,360
O00009,M011,Patiala Lassi,2,150,300
O00009,M008,Pindi Chole,1,220,220
O00009,M012,Sweet Lassi,2,130,260
O00010,M009,Samosa Chaat,2,210,420
O00010,M003,Paneer Paratha,2,260,520
O00010,M010,Papdi Chaat,2,200,400
O00010,M004,Aloo Paratha,2,240,480
O00010,M001,Amritsari Paratha,3,265,795
O00011,M011,Patiala Lassi,3,150,450
O00011,M014,Gajar Ka Halwa,1,210,210
O00011,M010,Papdi Chaat,2,200,400
O00011,M015,Gulab Jamun,2,180,360
O00012,M001,Amritsari Paratha,3,265,795
O00012,M008,Pindi Chole,1,220,220
O00012,M005,Gobhi Paratha,1,250,250
O00012,M012,Sweet Lassi,2,130,260
O00013,M004,Aloo Paratha,3,240,720
O00013,M010,Papdi Chaat,1,200,200
O00013,M005,Gobhi Paratha,2,250,500
O00013,M012,Sweet Lassi,1,130,130
O00013,M011,Patiala Lassi,2,150,300
O00014,M010,Papdi Chaat,1,200,200
O00014,M001,Amritsari Paratha,2,265,530
O00015,M012,Sweet Lassi,2,130,260
O00015,M001,Amritsari Paratha,3,265,795
O00015,M003,Paneer Paratha,3,260,780
O00015,M009,Samosa Chaat,2,210,420
O00016,M011,Patiala Lassi,3,150,450
O00016,M007,Masaledar Sukhe Aloo,2,180,360
O00016,M014,Gajar Ka Halwa,1,210,210
O00016,M012,Sweet Lassi,2,130,260
O00016,M001,Amritsari Paratha,2,265,530
O00017,M015,Gulab Jamun,2,180,360
O00017,M007,Masaledar Sukhe Aloo,1,180,180
O00017,M001,Amritsari Paratha,1,265,265
O00017,M008,Pindi Chole,1,220,220
O00018,M002,All In One Paratha,3,285,855
O00019,M003,Paneer Paratha,3,260,780
O00019,M007,Masaledar Sukhe Aloo,1,180,180
O00019,M015,Gulab Jamun,2,180,360
O00020,M014,Gajar Ka Halwa,1,210,210
O00020,M011,Patiala Lassi,3,150,450
O00020,M005,Gobhi Paratha,1,250,250
O00021,M014,Gajar Ka Halwa,2,210,420
O00021,M005,Gobhi Paratha,3,250,750
O00022,M001,Amritsari Paratha,3,265,795
O00022,M009,Samosa Chaat,3,210,630
O00022,M006,Paneer Butter Masala,1,385,385
O00023,M007,Masaledar Sukhe Aloo,2,180,360
O00023,M006,Paneer Butter Masala,1,385,385
O00023,M004,Aloo Paratha,2,240,480
O00024,M008,Pindi Chole,2,220,440
O00024,M013,Salted Chaas,3,70,210
O00025,M006,Paneer Butter Masala,3,385,1155
O00025,M001,Amritsari Paratha,2,265,530
O00025,M008,Pindi Chole,2,220,440
O00025,M012,Sweet Lassi,2,130,260
O00025,M007,Masaledar Sukhe Aloo,1,180,180
O00026,M015,Gulab Jamun,3,180,540
O00026,M014,Gajar Ka Halwa,3,210,630
O00026,M005,Gobhi Paratha,2,250,500
O00026,M009,Samosa Chaat,3,210,630
O00027,M006,Paneer Butter Masala,1,385,385
O00027,M002,All In One Paratha,1,285,285
O00028,M014,Gajar Ka Halwa,2,210,420
O00028,M012,Sweet Lassi,2,130,260
O00028,M009,Samosa Chaat,2,210,420
O00029,M014,Gajar Ka Halwa,2,210,420
O00029,M011,Patiala Lassi,2,150,300
O00029,M001,Amritsari Paratha,1,265,265
O00029,M002,All In One Paratha,1,285,285
O00029,M015,Gulab Jamun,2,180,360
O00030,M013,Salted Chaas,3,70,210
O00030,M011,Patiala Lassi,3,150,450
O00030,M003,Paneer Paratha,2,260,520
O00030,M010,Papdi Chaat,2,200,400
O00030,M005,Gobhi Paratha,1,250,250
O00031,M013,Salted Chaas,2,70,140
O00031,M010,Papdi Chaat,2,200,400
O00032,M011,Patiala Lassi,3,150,450
O00032,M014,Gajar Ka Halwa,3,210,630
O00032,M010,Papdi Chaat,1,200,200
O00033,M001,Amritsari Paratha,1,265,265
O00033,M014,Gajar Ka Halwa,3,210,630
O00034,M006,Paneer Butter Masala,1,385,385
O00034,M005,Gobhi Paratha,3,250,750
O00034,M001,Amritsari Paratha,2,265,530
O00034,M008,Pindi Chole,1,220,220
O00034,M013,Salted Chaas,2,70,140
O00035,M012,Sweet Lassi,2,130,260
O00035,M002,All In One Paratha,3,285,855
O00035,M003,Paneer Paratha,3,260,780
O00035,M005,Gobhi Paratha,2,250,500
O00035,M013,Salted Chaas,2,70,140
O00036,M004,Aloo Paratha,3,240,720
O00036,M014,Gajar Ka Halwa,2,210,420
O00036,M012,Sweet Lassi,1,130,130
O00037,M011,Patiala Lassi,2,150,300
O00037,M010,Papdi Chaat,2,200,400
O00038,M006,Paneer Butter Masala,3,385,1155
O00038,M003,Paneer Paratha,2,260,520
O00039,M002,All In One Paratha,2,285,570
O00039,M005,Gobhi Paratha,3,250,750
O00039,M003,Paneer Paratha,1,260,260
O00039,M012,Sweet Lassi,1,130,130
O00040,M001,Amritsari Paratha,1,265,265
O00040,M009,Samosa Chaat,1,210,210
O00040,M006,Paneer Butter Masala,2,385,770
O00041,M004,Aloo Paratha,2,240,480
O00041,M005,Gobhi Paratha,1,250,250
O00042,M009,Samosa Chaat,3,210,630
O00043,M009,Samosa Chaat,1,210,210
O00043,M008,Pindi Chole,3,220,660
O00043,M004,Aloo Paratha,1,240,240
O00043,M014,Gajar Ka Halwa,3,210,630
O00044,M015,Gulab Jamun,3,180,540
O00044,M006,Paneer Butter Masala,1,385,385
O00044,M010,Papdi Chaat,3,200,600
O00044,M004,Aloo Paratha,3,240,720
O00045,M005,Gobhi Paratha,1,250,250
O00046,M002,All In One Paratha,1,285,285
O00046,M008,Pindi Chole,1,220,220
O00046,M015,Gulab Jamun,3,180,540
O00046,M007,Masaledar Sukhe Aloo,3,180,540
O00046,M001,Amritsari Paratha,1,265,265
O00047,M009,Samosa Chaat,2,210,420
O00048,M005,Gobhi Paratha,3,250,750
O00048,M002,All In One Paratha,2,285,570
O00048,M009,Samosa Chaat,1,210,210
O00049,M011,Patiala Lassi,3,150,450
O00049,M013,Salted Chaas,1,70,70
O00049,M007,Masaledar Sukhe Aloo,3,180,540
O00049,M001,Amritsari Paratha,1,265,265
O00050,M015,Gulab Jamun,3,180,540
O00050,M004,Aloo Paratha,3,240,720
O00050,M002,All In One Paratha,1,285,285
O00050,M014,Gajar Ka Halwa,3,210,630
O00050,M008,Pindi Chole,1,220,220
O00051,M001,Amritsari Paratha,3,265,795
O00052,M015,Gulab Jamun,2,180,360
O00052,M007,Masaledar Sukhe Aloo,3,180,540
O00053,M008,Pindi Chole,2,220,440
O00053,M015,Gulab Jamun,1,180,180
O00053,M013,Salted Chaas,2,70,140
O00053,M014,Gajar Ka Halwa,2,210,420
O00054,M007,Masaledar Sukhe Aloo,2,180,360
O00054,M005,Gobhi Paratha,2,250,500
O00054,M006,Paneer Butter Masala,3,385,1155
O00054,M013,Salted Chaas,1,70,70
O00055,M005,Gobhi Paratha,1,250,250
O00055,M009,Samosa Chaat,3,210,630
O00056,M013,Salted Chaas,2,70,140
O00056,M014,Gajar Ka Halwa,1,210,210
O00056,M012,Sweet Lassi,2,130,260
O00057,M002,All In One Paratha,1,285,285
O00058,M007,Masaledar Sukhe Aloo,1,180,180
O00058,M010,Papdi Chaat,3,200,600
O00059,M006,Paneer Butter Masala,1,385,385
O00059,M004,Aloo Paratha,3,240,720
O00059,M014,Gajar Ka Halwa,3,210,630
O00060,M004,Aloo Paratha,1,240,240
O00060,M012,Sweet Lassi,1,130,130
O00061,M004,Aloo Paratha,2,240,480
O00062,M005,Gobhi Paratha,3,250,750
O00063,M006,Paneer Butter Masala,1,385,385
O00063,M015,Gulab Jamun,1,180,180
O00063,M012,Sweet Lassi,2,130,260
O00063,M001,Amritsari Paratha,2,265,530
O00063,M008,Pindi Chole,1,220,220
O00064,M003,Paneer Paratha,1,260,260
O00064,M013,Salted Chaas,2,70,140
O00064,M014,Gajar Ka Halwa,2,210,420
O00064,M007,Masaledar Sukhe Aloo,2,180,360
O00065,M006,Paneer Butter Masala,3,385,1155
O00066,M012,Sweet Lassi,2,130,260
O00067,M014,Gajar Ka Halwa,2,210,420
O00067,M009,Samosa Chaat,1,210,210
O00067,M008,Pindi Chole,1,220,220
O00068,M005,Gobhi Paratha,2,250,500
O00068,M009,Samosa Chaat,3,210,630
O00068,M004,Aloo Paratha,1,240,240
O00068,M012,Sweet Lassi,2,130,260
O00069,M008,Pindi Chole,2,220,440
O00069,M004,Aloo Paratha,1,240,240
O00069,M001,Amritsari Paratha,2,265,530
O00069,M003,Paneer Paratha,3,260,780
O00069,M010,Papdi Chaat,2,200,400
O00070,M015,Gulab Jamun,3,180,540
O00070,M003,Paneer Paratha,1,260,260
O00070,M006,Paneer Butter Masala,1,385,385
O00070,M014,Gajar Ka Halwa,1,210,210
O00071,M009,Samosa Chaat,2,210,420
O00071,M010,Papdi Chaat,2,200,400
O00071,M004,Aloo Paratha,1,240,240
O00072,M006,Paneer Butter Masala,1,385,385
O00072,M009,Samosa Chaat,3,210,630
